state,true_shape,fitted_shape,shape_error,true_mean,fitted_mean,mean_error,shape_valid,mean_valid,n_samples,repeat
CMP,10.0,10.107755067496752,0.010775506749675224,10.5,10.598113547954991,0.009344147424284884,True,True,1000,0
LMPP,8.0,8.09204544836853,0.011505681046066307,8.4,8.430804550469917,0.0036672083892757847,True,True,1000,0
MEP,18.0,18.416168717772166,0.02312048432067589,18.36,18.77348100507309,0.022520751910299088,True,True,1000,0
GMP,20.0,20.196631467755633,0.009831573387781668,19.4,19.254992626037176,0.007474606905300157,True,True,1000,0
HSC,15.0,15.510292867470957,0.0340195244980638,16.5,16.6593451430017,0.009657281394042498,True,True,1000,1
MPP,12.0,12.10204057442792,0.008503381202326596,13.200000000000001,13.242929988673833,0.003252271869229673,True,True,1000,1
CMP,10.0,9.895311143011282,0.010468885698871767,10.5,10.550549654988528,0.004814252856050247,True,True,1000,1
LMPP,8.0,8.463359508480167,0.05791993856002087,8.4,8.398445661378377,0.00018504031209805777,True,True,1000,1
MEP,18.0,18.090781487518637,0.005043415973257599,18.36,18.32734834058323,0.0017784128222640438,True,True,1000,1
GMP,20.0,19.811217061669556,0.009439146916522211,19.4,19.46546424434403,0.0033744455847438994,True,True,1000,1
HSC,15.0,14.064575206549598,0.062361652896693445,16.5,16.438490999249215,0.003727818227320318,True,True,1000,2
MPP,12.0,11.306832651652169,0.05776394569565261,13.200000000000001,13.297415114351725,0.007379932905433662,True,True,1000,2
CMP,10.0,10.055318754272038,0.005531875427203836,10.5,10.46778979001554,0.0030676390461389738,True,True,1000,2
LMPP,8.0,7.695255186768126,0.038093101653984274,8.4,8.602056213520525,0.024054311133395786,True,True,1000,2
MEP,18.0,18.040882272407686,0.0022712373559825336,18.36,18.312204651003466,0.0026032325161510733,True,True,1000,2
GMP,20.0,20.475675052254015,0.02378375261270076,19.4,19.354681931716062,0.0023359829012338505,True,True,1000,2
HSC,15.0,14.169153557319841,0.0553897628453439,16.5,16.505187054861658,0.00031436696131258873,True,True,1000,3
MPP,12.0,12.34697154493219,0.02891429541101583,13.200000000000001,13.187924103347068,0.000914840655525199,True,True,1000,3
CMP,10.0,9.852114450970156,0.01478855490298443,10.5,10.526524729735323,0.002526164736697433,True,True,1000,3
LMPP,8.0,8.440458906671077,0.05505736333388467,8.4,8.38831341238672,0.0013912604301523687,True,True,1000,3
MEP,18.0,18.54751870498003,0.030417705832223793,18.36,18.534259866758124,0.009491278145867326,True,True,1000,3
GMP,20.0,20.274595433347365,0.01372977166736824,19.4,19.13026639066596,0.013903794295569056,True,True,1000,3
HSC,15.0,14.698129083098697,0.02012472779342017,16.5,16.57078919635817,0.004290254324737585,True,True,1000,4
MPP,12.0,11.560031319793584,0.036664056683868,13.200000000000001,13.26636933179272,0.005027979681266622,True,True,1000,4
CMP,10.0,9.892015540050705,0.010798445994929472,10.5,10.24123526088506,0.024644260868089452,True,True,1000,4
LMPP,8.0,7.747645169292443,0.03154435383844467,8.4,8.276566149308247,0.014694506034732598,True,True,1000,4
MEP,18.0,16.89220793322414,0.06154400370977006,18.36,18.546465511013576,0.010156073584617453,True,True,1000,4
GMP,20.0,19.859253441368377,0.007037327931581139,19.4,19.722483953359674,0.01662288419379772,True,True,1000,4
HSC,15.0,14.861783352362691,0.0092144431758206,16.5,16.412320241175394,0.005313924777248868,True,True,5000,0
MPP,12.0,12.081700683443946,0.006808390286995536,13.200000000000001,13.391468733388901,0.014505207074916685,True,True,5000,0
CMP,10.0,10.066596683526647,0.006659668352664738,10.5,10.564606426374503,0.006152992988047924,True,True,5000,0
LMPP,8.0,7.816574404705699,0.022928199411787586,8.4,8.444022058499009,0.005240721249881942,True,True,5000,0
MEP,18.0,18.31584873178063,0.017547151765590543,18.36,18.427784863997207,0.00369198605649279,True,True,5000,0
GMP,20.0,20.181944744746477,0.009097237237323873,19.4,19.37839866542012,0.0011134708546328411,True,True,5000,0
HSC,15.0,15.383478772949212,0.025565251529947493,16.5,16.507782160983595,0.00047164612021788344,True,True,5000,1
MPP,12.0,11.770390871315648,0.019134094057029333,13.200000000000001,13.176873235094348,0.0017520276443676527,True,True,5000,1
CMP,10.0,10.265711990142234,0.026571199014223446,10.5,10.508803386286312,0.0008384177415534973,True,True,5000,1
LMPP,8.0,8.132539538882407,0.016567442360300833,8.4,8.439516314394082,0.004704323142152538,True,True,5000,1
MEP,18.0,17.604926290608166,0.021948539410657456,18.36,18.32666875302873,0.0018154273949492793,True,True,5000,1
GMP,20.0,20.03181545041281,0.0015907725206405487,19.4,19.359812822054767,0.0020715040177954336,True,True,5000,1
HSC,15.0,14.898466435544067,0.006768904297062169,16.5,16.4573019071456,0.0025877632032970414,True,True,5000,2
MPP,12.0,12.223820386341579,0.018651698861798256,13.200000000000001,13.157420365943189,0.003225729852788811,True,True,5000,2
CMP,10.0,9.777111616076123,0.02228883839238769,10.5,10.470504803770137,0.002809066307606028,True,True,5000,2
LMPP,8.0,7.995599866402253,0.0005500166997183253,8.4,8.429769364238094,0.0035439719331064098,True,True,5000,2
MEP,18.0,17.463085149001113,0.02982860283327149,18.36,18.265155268268426,0.00516583506163253,True,True,5000,2
GMP,20.0,20.549117152490496,0.027455857624524783,19.4,19.43012886971072,0.0015530345211712622,True,True,5000,2
HSC,15.0,15.375587816482414,0.02503918776549424,16.5,16.54525979346354,0.002743017785669086,True,True,5000,3
MPP,12.0,12.500915088082749,0.041742924006895755,13.200000000000001,13.154216261317016,0.0034684650517412974,True,True,5000,3
CMP,10.0,9.901128800028049,0.009887119997195094,10.5,10.445756890761757,0.005166010403642184,True,True,5000,3
LMPP,8.0,7.870049199250752,0.01624385009365603,8.4,8.40188413987416,0.00022430236597129985,True,True,5000,3
MEP,18.0,17.8166271389684,0.010187381168422228,18.36,18.355483473124004,0.00024599819586034355,True,True,5000,3
GMP,20.0,20.02212335015094,0.0011061675075470846,19.4,19.341545368606887,0.003013125329541823,True,True,5000,3
HSC,15.0,14.869177796154045,0.008721480256397029,16.5,16.46485795503608,0.0021298209069041977,True,True,5000,4
MPP,12.0,11.907045426743178,0.007746214438068518,13.200000000000001,13.277083806579322,0.0058396823166152025,True,True,5000,4
CMP,10.0,9.737555735948003,0.02624442640519966,10.5,10.543904325276872,0.0041813643120830095,True,True,5000,4
LMPP,8.0,8.09949649763355,0.012437062204193827,8.4,8.368458673644001,0.003754919804285587,True,True,5000,4
MEP,18.0,17.83328040405837,0.009262199774534944,18.36,18.221820502721908,0.007526116409482116,True,True,5000,4
GMP,20.0,19.960221673141792,0.0019889163429104074,19.4,19.37080602083612,0.0015048442867978467,True,True,5000,4
